episode,total_reward,length,success,wall_hits
353,-8.569999999999968,200,0,73
354,-11.989999999999961,200,0,111
355,-11.359999999999962,200,0,104
356,-11.449999999999962,200,0,105
357,-11.629999999999962,200,0,107
358,-10.459999999999965,200,0,94
359,-11.269999999999962,200,0,103
360,-3.829999999999992,106,1,42
361,-9.289999999999965,200,0,81
362,-10.459999999999964,200,0,94
363,-10.999999999999963,200,0,100
364,-8.029999999999967,200,0,67
365,-10.729999999999963,200,0,97
366,-10.819999999999963,200,0,98
367,-11.80999999999996,200,0,109
368,-11.539999999999964,200,0,106
369,-10.639999999999963,200,0,96
370,-9.829999999999966,200,0,87
371,-11.809999999999961,200,0,109
372,-11.80999999999996,200,0,109
373,-11.809999999999961,200,0,109
374,-11.539999999999962,200,0,106
375,-11.359999999999962,200,0,104
376,-7.329999999999973,177,1,73
377,-9.919999999999966,200,0,88
378,-11.269999999999964,200,0,103
379,-10.099999999999962,200,0,90
380,-10.639999999999965,200,0,96
381,-10.459999999999965,200,0,94
382,-7.369999999999971,181,1,73
383,-5.729999999999985,116,1,62
384,-10.369999999999965,200,0,93
385,-11.629999999999962,200,0,107
386,-10.909999999999963,200,0,99
387,-10.279999999999964,200,0,92
388,-10.819999999999963,200,0,98
389,-11.809999999999961,200,0,109
390,-10.099999999999964,200,0,90
391,-10.999999999999963,200,0,100
392,-10.369999999999964,200,0,93
393,-10.549999999999963,200,0,95
394,-11.809999999999961,200,0,109
395,-10.729999999999963,200,0,97
396,-11.269999999999962,200,0,103
397,-10.549999999999965,200,0,95
398,-11.269999999999962,200,0,103
399,-11.539999999999962,200,0,106
400,-10.369999999999964,200,0,93
401,-10.099999999999962,200,0,90
402,-9.919999999999964,200,0,88
403,-10.819999999999963,200,0,98
404,-10.639999999999963,200,0,96
405,-11.539999999999962,200,0,106
406,-9.829999999999965,200,0,87
407,-10.279999999999964,200,0,92
408,-11.449999999999962,200,0,105
409,-10.999999999999963,200,0,100
410,-10.729999999999963,200,0,97
411,-11.539999999999962,200,0,106
412,-10.459999999999964,200,0,94
413,-11.539999999999962,200,0,106
414,-11.449999999999962,200,0,105
415,-10.999999999999963,200,0,100
416,-10.009999999999964,200,0,89
417,-10.369999999999962,200,0,93
418,-11.71999999999996,200,0,108
419,-8.52999999999997,180,1,86
420,-11.179999999999962,200,0,102
421,-10.729999999999961,200,0,97
422,-12.16999999999996,200,0,113
423,-8.229999999999972,177,1,83
424,-10.639999999999961,200,0,96
425,-10.279999999999964,200,0,92
426,-10.639999999999961,200,0,96
427,-10.099999999999964,200,0,90
428,-11.449999999999962,200,0,105
429,-10.099999999999964,200,0,90
430,-4.449999999999992,96,1,50
431,-6.449999999999979,143,1,67
432,-10.819999999999965,200,0,98
433,-11.26999999999996,200,0,103
434,-10.729999999999965,200,0,97
435,-10.819999999999963,200,0,98
436,-11.179999999999962,200,0,102
437,-11.539999999999962,200,0,106
438,-10.099999999999966,200,0,90
439,-9.829999999999966,200,0,87
440,-9.739999999999965,200,0,86
441,-10.639999999999963,200,0,96
442,-11.449999999999962,200,0,105
443,-10.909999999999961,200,0,99
444,-10.999999999999963,200,0,100
445,-9.609999999999964,198,1,96
446,-11.269999999999962,200,0,103
447,-9.559999999999965,200,0,84
448,-9.649999999999965,200,0,85
449,-9.649999999999965,200,0,85
450,-11.359999999999962,200,0,104
451,-12.79999999999996,200,0,120
452,-10.909999999999963,200,0,99
453,-10.639999999999963,200,0,96
454,-10.369999999999965,200,0,93
455,-10.189999999999964,200,0,91
456,-10.999999999999963,200,0,100
457,-7.129999999999978,148,1,74
458,-10.909999999999963,200,0,99
459,-9.469999999999963,200,0,83
460,-6.369999999999979,144,1,66
461,-11.449999999999962,200,0,105
462,-12.70999999999996,200,0,119
463,-10.459999999999964,200,0,94
464,-11.449999999999962,200,0,105
465,-10.189999999999968,200,0,91
466,-11.179999999999962,200,0,102
467,-6.449999999999977,152,1,66
468,-9.829999999999965,200,0,87
469,-11.35999999999996,200,0,104
470,-11.26999999999996,200,0,103
471,-9.739999999999966,200,0,86
472,-9.919999999999963,200,0,88
473,-10.369999999999962,200,0,93
474,-11.629999999999962,200,0,107
475,-10.549999999999965,200,0,95
476,-10.549999999999965,200,0,95
477,-11.269999999999964,200,0,103
478,-10.819999999999963,200,0,98
479,-11.71999999999996,200,0,108
480,-9.919999999999966,200,0,88
481,-11.089999999999963,200,0,101
482,-10.459999999999964,200,0,94
483,-10.999999999999961,200,0,100
484,-9.739999999999965,200,0,86
485,-11.089999999999963,200,0,101
486,-10.549999999999963,200,0,95
487,-6.929999999999976,164,1,70
488,-11.359999999999964,200,0,104
489,-11.719999999999962,200,0,108
490,-11.269999999999962,200,0,103
491,-11.899999999999961,200,0,110
492,-11.269999999999962,200,0,103
493,-9.289999999999967,200,0,81
494,-7.169999999999975,161,1,73
495,-10.819999999999961,200,0,98
496,-11.179999999999962,200,0,102
497,-10.819999999999963,200,0,98
498,-11.17999999999996,200,0,102
